 ,open,high,low,close,amount,money,num
2016-11-10,9.1,9.16,9.1,9.14,63199874,576898452.74,12866
2016-11-09,9.14,9.14,9.01,9.07,72261671,656061960.7,17133
2016-11-08,9.12,9.15,9.1,9.15,80669498,736747217.08,11831
2016-11-07,9.1,9.12,9.07,9.12,49724012,452447930.56,8800
2016-11-04,9.11,9.17,9.1,9.11,50811757,463831938.55,10491
2016-11-03,9.06,9.14,9.05,9.13,61687113,561464947.19,12261
2016-11-02,9.14,9.14,9.05,9.07,63358600,576083788.24,16370
2016-11-01,9.14,9.16,9.11,9.14,52541566,480117542.32,9771
2016-10-31,9.15,9.16,9.09,9.15,49359683,450148883.09,11944
2016-10-28,9.16,9.23,9.14,9.17,54199774,497615050.8,10917
2016-10-27,9.16,9.17,9.12,9.16,32414055,296216914.82,8828
2016-10-26,9.22,9.22,9.13,9.15,44045213,403750809.07,11999
2016-10-25,9.25,9.26,9.18,9.21,50075292,461542701.14,13370
2016-10-24,9.13,9.3,9.12,9.24,91567704,844746080.61,25033
2016-10-21,9.08,9.13,9.06,9.13,68389677,621549844.97,13382
2016-10-20,9.08,9.09,9.05,9.07,34284457,310966016.7,7617
2016-10-19,9.09,9.11,9.05,9.08,48263616,438299029.51,10446
2016-10-18,9.03,9.09,9.03,9.09,59373709,537784120.36,12329
2016-10-17,9.08,9.09,9.03,9.05,35922316,325582450.32,9349
2016-10-14,9.06,9.09,9.04,9.09,33541176,304218676.83,8986
2016-10-13,9.08,9.11,9.05,9.07,63236796,574142476.27,15326
2016-10-12,9.14,9.16,9.12,9.13,27031620,246995531.01,7923
2016-10-11,9.13,9.15,9.11,9.15,36337078,331886515.46,8855
2016-10-10,9.1,9.17,9.08,9.12,61138159,557122276.5,12606
2016-09-30,9.06,9.1,9.05,9.07,30808486,279526475.64,7886
2016-09-29,9.05,9.08,9.05,9.06,30366429,275239667.41,8011
2016-09-28,9.06,9.06,9.03,9.05,27136600,245499467.89,6616
2016-09-27,9.04,9.07,9.01,9.06,40132367,362769231.03,10235
2016-09-26,9.13,9.13,9.04,9.04,43948186,398771864.85,11019
2016-09-23,9.16,9.19,9.14,9.15,28879877,264699513.1,7429
2016-09-22,9.1,9.18,9.09,9.16,49461323,451909020.48,11649
2016-09-21,9.08,9.1,9.03,9.08,40566533,367767497.46,10678
2016-09-20,9.12,9.12,9.04,9.08,43667897,396359321.31,10280
2016-09-19,9.05,9.14,9.05,9.12,35434870,322575925.94,9056
2016-09-14,9.17,9.18,9.05,9.06,42148125,384081266.46,12937
2016-09-13,9.18,9.21,9.14,9.19,46093142,423113832.02,11445
2016-09-12,9.29,9.32,9.13,9.16,75658173,697759184.1,27590
2016-09-09,9.4,9.43,9.36,9.38,32743143,307527271.24,7890
2016-09-08,9.39,9.42,9.38,9.4,29521845,277503757.8,6844
2016-09-07,9.41,9.42,9.37,9.4,45937329,431984158.61,9538
2016-09-06,9.42,9.43,9.36,9.41,57473833,539813283.55,10992
2016-09-05,9.46,9.46,9.4,9.42,46993656,443204803.58,8673
