,code,days
0,576,5398
1,600246,3918
2,600793,4794
3,600862,5476
4,603977,12
5,2148,2262
6,2745,433
7,2626,1236
8,2639,1210
9,2569,1371
10,600511,3400
11,2125,2350
12,300404,391
13,603131,116
14,300433,417
15,600590,3499
16,300375,692
17,600415,3538
18,2637,1216
19,429,4552
20,952,4125
21,300507,142
22,300490,221
23,300219,1346
24,2352,1652
25,600824,5545
26,600567,3622
27,2343,1660
28,600908,42
29,603000,1116
30,2236,2075
31,300414,379
32,600721,4951
33,600150,4490
34,2178,2208
35,300392,540
36,659,4840
37,2217,2136
38,600654,5634
39,656,4843
40,2589,1330
41,600847,5516
42,2775,347
43,600668,5634
44,2571,1371
45,2023,3004
46,551,5566
47,68,4717
48,600609,5634
49,601801,1666
50,2742,433
51,600082,4710
52,601368,357
53,603766,1044
54,600509,3583
55,2601,1305
56,969,4002
57,300126,1492
58,530,5587
59,601001,2539
60,425,4906
61,2275,1795
62,600829,5536
63,601225,691
64,600491,3046
65,2623,1247
66,600698,5589
67,678,4817
68,300104,1528
69,600854,5494
70,300402,523
71,300092,1553
72,600480,3228
73,600478,3204
74,2490,1486
75,2350,1654
76,603969,430
77,300316,1108
78,600261,3964
79,2368,1632
80,2246,2063
81,2185,2195
82,897,4265
83,2095,2419
84,2072,2461
85,2805,96
86,2428,1572
87,510,5634
88,600616,5634
89,300487,344
90,2228,2083
91,2013,3016
92,300132,1483
93,300030,1681
94,2461,1524
95,600452,3099
96,600302,3865
97,2043,2813
98,2675,1098
99,600449,3218
100,600743,4898
101,601016,527
102,300331,1075
103,2787,221
104,600071,4727
105,2389,1611
106,2401,1595
107,2059,2505
108,629,4852
109,591,5039
110,2321,1688
111,600070,4722
112,2547,1406
113,601020,173
114,600170,4466
115,600635,5634
116,300532,66
117,600318,3868
118,600890,5022
119,601137,1417
120,300207,1364
121,300158,1431
122,300074,1601
123,2365,1637
124,2480,1500
125,600682,5624
126,603996,228
127,2648,1193
128,2792,165
129,300387,589
130,601188,1627
131,300489,345
132,2203,2156
133,600290,3892
134,2459,1530
135,636,4842
136,61,4813
137,2549,1406
138,651,4851
139,2631,1226
140,2308,1701
141,600248,3984
142,300195,1379
143,819,4707
144,300076,1598
145,2022,3004
146,300311,1118
147,600257,3992
148,2305,1716
149,600605,5634
150,600153,4471
151,300358,696
152,600600,5634
153,2492,1478
154,2354,1650
155,600306,3856
156,300499,199
157,300482,346
158,600662,5634
159,300542,45
160,761,4568
161,300080,1562
162,2730,524
163,300225,1337
164,2367,1632
165,300254,1280
166,948,4146
167,600887,5026
168,600403,3194
169,600717,4959
170,603288,686
171,300288,1164
172,300339,1061
173,300410,465
174,600126,4539
175,300284,1186
176,600137,4513
177,603328,590
178,300350,1037
179,600830,5536
180,2558,1398
181,600467,3076
182,300494,221
183,2557,1398
184,300177,1409
185,600000,4127
186,300396,540
187,22,5634
188,600548,3617
189,603227,377
190,2807,55
191,2092,2424
192,783,4683
193,300460,377
194,600416,3488
195,600695,5599
196,600370,3337
197,600611,5634
198,300200,1374
199,600674,5634
200,300174,1414
201,2761,359
202,2778,218
203,2134,2324
204,333,777
205,300046,1664
206,2595,1318
207,600604,5634
208,2700,1014
209,603199,411
210,600225,4074
211,2340,1662
212,813,4491
213,2821,7
214,601006,2512
215,600260,3974
216,600382,3840
217,600061,4734
218,10,5112
219,2126,2339
220,2371,1630
221,2277,1790
222,300543,51
223,300011,1721
224,2046,2801
225,603006,591
226,601969,481
227,722,4731
228,601117,1673
229,557,5455
230,300391,567
231,628,4851
232,2018,3010
233,30,5634
234,601727,1939
235,2030,2991
236,601929,1159
237,300094,1553
238,300468,369
239,703,4768
240,2561,1397
241,603069,93
242,2613,1273
243,600132,4621
244,544,5587
245,300265,1261
246,600521,3339
247,600588,3769
248,600617,5634
249,600217,4101
250,300334,1070
251,999,4054
252,798,4558
253,601000,1556
254,2559,1397
255,99,3957
256,563,5564
257,2629,1232
258,572,5420
259,600173,4270
260,600088,4714
261,568,5485
262,973,4004
263,2254,2050
264,600228,4319
265,600629,5634
266,600106,4712
267,600737,4926
268,600111,4644
269,2802,102
270,2502,1467
271,606,4882
272,2422,1575
273,2553,1401
274,600352,3238
275,300248,1295
276,603701,155
277,600235,3989
278,586,5074
279,300088,1581
280,300367,690
281,600663,5634
282,2721,692
283,300168,1419
284,600874,5195
285,600311,3742
286,600280,3916
287,600846,5525
288,600109,4678
289,300506,167
290,600241,3876
291,300539,58
292,300218,1346
293,2054,2517
294,2543,1416
295,2540,1424
296,300077,1598
297,753,4706
298,40,5420
299,600158,4527
300,600688,5609
301,2198,2175
302,300185,1394
303,2548,1406
304,2539,1424
305,603160,31
306,600621,5634
307,2738,466
308,600723,4937
309,2519,1453
310,300412,465
311,300055,1642
312,2734,448
313,2776,348
314,603611,447
315,983,3960
316,2107,2394
317,300235,1317
318,300173,1414
319,2531,1435
320,300483,346
321,603936,237
322,961,4060
323,601169,2234
324,2685,1086
325,990,3974
326,600675,5634
327,600608,5634
328,601699,2474
329,300117,1513
330,962,4079
331,17,5634
332,600052,4756
333,2819,12
334,600303,3856
335,300098,1539
336,600107,4616
337,600489,3229
338,2322,1686
339,89,4511
340,2188,2193
341,55,5002
342,600145,4156
343,300187,1394
344,603299,221
345,600596,3690
346,2393,1603
347,2488,1486
348,600218,4351
349,603077,1052
350,300341,1055
351,600265,3938
352,955,4106
353,2476,1504
354,2164,2253
355,300356,1007
356,600965,3010
357,600015,3208
358,2329,1674
359,2529,1440
360,2496,1473
361,603029,144
362,2604,1296
