,open,high,low,close,volume,transaction_value
2016-11-28,9.62,9.69,9.78,9.6,9.63,127968924
2016-11-25,9.47,9.48,9.62,9.46,9.62,101367499
2016-11-24,9.45,9.44,9.52,9.42,9.47,77974884
2016-11-23,9.36,9.34,9.56,9.34,9.45,175286943
2016-11-22,9.24,9.24,9.36,9.23,9.36,118025694
2016-11-21,9.18,9.18,9.28,9.17,9.24,85024326
2016-11-18,9.21,9.21,9.21,9.16,9.18,51759734
2016-11-17,9.23,9.22,9.22,9.18,9.21,50532402
2016-11-16,9.23,9.23,9.24,9.2,9.23,41584240
2016-11-15,9.22,9.2,9.24,9.18,9.23,55434298
2016-11-14,9.18,9.16,9.25,9.16,9.22,97507875
2016-11-11,9.14,9.14,9.18,9.11,9.18,81226969
2016-11-10,9.07,9.1,9.16,9.1,9.14,63199874
2016-11-09,9.15,9.14,9.14,9.01,9.07,72261671
2016-11-08,9.12,9.12,9.15,9.1,9.15,80669498
2016-11-07,9.11,9.1,9.12,9.07,9.12,49724012
2016-11-04,9.13,9.11,9.17,9.1,9.11,50811757
2016-11-03,9.07,9.06,9.14,9.05,9.13,61687113
2016-11-02,9.14,9.14,9.14,9.05,9.07,63358600
2016-11-01,9.15,9.14,9.16,9.11,9.14,52541566
2016-10-31,9.17,9.15,9.16,9.09,9.15,49359683
2016-10-28,9.16,9.16,9.23,9.14,9.17,54199774
2016-10-27,9.15,9.16,9.17,9.12,9.16,32414055
2016-10-26,9.21,9.22,9.22,9.13,9.15,44045213
2016-10-25,9.24,9.25,9.26,9.18,9.21,50075292
2016-10-24,9.13,9.13,9.3,9.12,9.24,91567704
2016-10-21,9.07,9.08,9.13,9.06,9.13,68389677
2016-10-20,9.08,9.08,9.09,9.05,9.07,34284457
2016-10-19,9.09,9.09,9.11,9.05,9.08,48263616
2016-10-18,9.05,9.03,9.09,9.03,9.09,59373709
2016-10-17,9.09,9.08,9.09,9.03,9.05,35922316
2016-10-14,9.07,9.06,9.09,9.04,9.09,33541176
2016-10-13,9.13,9.08,9.11,9.05,9.07,63236796
2016-10-12,9.15,9.14,9.16,9.12,9.13,27031620
2016-10-11,9.12,9.13,9.15,9.11,9.15,36337078
2016-10-10,9.07,9.1,9.17,9.08,9.12,61138159
2016-09-30,9.06,9.06,9.1,9.05,9.07,30808486
2016-09-29,9.05,9.05,9.08,9.05,9.06,30366429
2016-09-28,9.06,9.06,9.06,9.03,9.05,27136600
2016-09-27,9.04,9.04,9.07,9.01,9.06,40132367
2016-09-26,9.15,9.13,9.13,9.04,9.04,43948186
2016-09-23,9.16,9.16,9.19,9.14,9.15,28879877
2016-09-22,9.08,9.1,9.18,9.09,9.16,49461323
2016-09-21,9.08,9.08,9.1,9.03,9.08,40566533
2016-09-20,9.12,9.12,9.12,9.04,9.08,43667897
2016-09-19,9.06,9.05,9.14,9.05,9.12,35434870
2016-09-14,9.19,9.17,9.18,9.05,9.06,42148125
2016-09-13,9.16,9.18,9.21,9.14,9.19,46093142
2016-09-12,9.38,9.29,9.32,9.13,9.16,75658173
2016-09-09,9.4,9.4,9.43,9.36,9.38,32743143
2016-09-08,9.4,9.39,9.42,9.38,9.4,29521845
2016-09-07,9.41,9.41,9.42,9.37,9.4,45937329
2016-09-06,9.42,9.42,9.43,9.36,9.41,57473833
2016-09-05,9.45,9.46,9.46,9.4,9.42,46993656
2016-09-02,9.45,9.43,9.46,9.42,9.45,36879633
2016-09-01,9.49,9.49,9.52,9.42,9.45,48013121
2016-08-31,9.47,9.46,9.5,9.43,9.49,48974676
